50 1225 
1 2 58.05928005065168 
1 3 52.3450093132096 
1 4 52.62128846769148 
1 5 56.147306257736005 
1 6 57.86121326069822 
1 7 61.366766250145524 
1 8 57.10061295642981 
1 9 51.67204273105525 
1 10 54.24131266848176 
1 11 55.94926272972683 
1 12 52.93694362163347 
1 13 54.57105459856901 
1 14 52.81098370604357 
1 15 56.87073060898725 
1 16 58.06100240264544 
1 17 61.57921727336261 
1 18 58.65219518483515 
1 19 61.163714733492114 
1 20 57.288044127898104 
1 21 56.344298735542004 
1 22 61.54673021371647 
1 23 63.49803146555018 
1 24 62.911684129420664 
1 25 55.475399953492904 
1 26 56.55722765482764 
1 27 62.775154320797974 
1 28 59.9122691942143 
1 29 58.817344380718176 
1 30 61.90379632946593 
1 31 58.8139439248891 
1 32 54.52522352086234 
1 33 56.236287217418614 
1 34 54.37352296844485 
1 35 52.9539422517342 
1 36 59.548971443678184 
1 37 55.708886185239784 
1 38 56.73623181001713 
1 39 56.17757559738583 
1 40 60.10723750098652 
1 41 57.86121326069822 
1 42 61.70186382922318 
1 43 58.193814104249945 
1 44 57.05716431790139 
1 45 57.158726367895916 
1 46 57.980341496062266 
1 47 59.79364514728969 
1 48 58.77856752252474 
1 49 58.09922546815922 
1 50 58.13535929191459 
2 3 58.54639186149733 
2 4 59.11920161842512 
2 5 62.56292832021212 
2 6 64.09118504131438 
2 7 66.56575696257048 
2 8 62.976185975335156 
2 9 57.56109797423951 
2 10 60.220594483947096 
2 11 62.59648552434873 
2 12 59.18040216152641 
2 13 60.788814760612006 
2 14 58.61296784842071 
2 15 63.45171392484209 
2 16 64.30956382996234 
2 17 67.27020142678332 
2 18 63.91181424431637 
2 19 66.37379000780354 
2 20 63.84105262290089 
2 21 62.44133246496266 
2 22 67.48392401157479 
2 23 69.55055715089564 
2 24 68.5200700525036 
2 25 61.70186382922318 
2 26 63.165813538653964 
2 27 68.67255638171628 
2 28 65.24201100517979 
2 29 65.24201100517979 
2 30 67.76960970818705 
2 31 64.06028410801812 
2 32 58.99728807326656 
2 33 62.67471579512746 
2 34 59.89991652748775 
2 35 58.9789793061901 
2 36 64.59102104782058 
2 37 61.29045602701942 
2 38 62.94346669829999 
2 39 61.99741930112898 
2 40 66.47044455996965 
2 41 64.09118504131438 
2 42 68.15629097889644 
2 43 64.35433163354274 
2 44 62.67758770086801 
2 45 63.478500297344766 
2 46 64.45866892823649 
2 47 66.10597552415364 
2 48 64.12269489034284 
2 49 64.05560084801328 
2 50 63.94591464667622 
3 4 54.74486277268398 
3 5 57.81107160397565 
3 6 60.16909505718031 
3 7 61.360247717883276 
3 8 58.46092712230965 
3 9 53.25410782277739 
3 10 55.94390047181194 
3 11 58.70195908144804 
3 12 54.68016093612015 
3 13 56.24944444170093 
3 14 54.13871073455665 
3 15 59.33868889687402 
3 16 59.51369590270797 
3 17 62.76941930590086 
3 18 58.863231307837665 
3 19 61.196405123176966 
3 20 59.36598352592164 
3 21 58.25358358075493 
3 22 63.40346993658943 
3 23 65.57438524302 
3 24 63.85201641295285 
3 25 56.70202818242042 
3 26 58.824484698125495 
3 27 64.88697866290278 
3 28 59.09551590433914 
3 29 61.50024390195538 
3 30 63.56791643588769 
3 31 59.02440173352035 
3 32 53.225933528685054 
3 33 57.96654207385498 
3 34 54.163456315120804 
3 35 56.30026642920973 
3 36 59.23917622654792 
3 37 56.447143417537085 
3 38 57.85326265648291 
3 39 57.517997183490316 
3 40 61.59285672868243 
3 41 60.16909505718031 
3 42 64.43229004156223 
3 43 60.25711576237283 
3 44 58.291680366927146 
3 45 58.65765082237781 
3 46 60.93701666474984 
3 47 61.453071526165395 
3 48 59.300252950556626 
3 49 59.658360688171776 
3 50 59.22938459920042 
4 5 58.26594202447945 
4 6 59.96265504461923 
4 7 61.511624917571474 
4 8 58.31191987921509 
4 9 53.301031884945715 
4 10 55.84371047844153 
4 11 58.94675563591265 
4 12 55.33281124251686 
4 13 56.91221310052878 
4 14 54.101755978895916 
4 15 59.80367881660793 
4 16 60.26010288739972 
4 17 62.66578013557319 
4 18 58.94302333609975 
4 19 61.335144900782616 
4 20 60.41953326532737 
4 21 58.136735374460095 
4 22 63.2771680782255 
4 23 65.4217089351845 
4 24 63.80971712834966 
4 25 58.025166953658996 
4 26 59.83410398760894 
4 27 64.3359930365577 
4 28 60.36290251470683 
4 29 61.33253622670434 
4 30 63.3425607313124 
4 31 59.08705441972886 
4 32 53.83307533477908 
4 33 59.143216009953335 
4 34 55.2836322974531 
4 35 55.0592408229536 
4 36 59.74847278382938 
4 37 56.72459783903276 
4 38 58.43800133474792 
4 39 57.675991538941055 
4 40 62.09734293832547 
4 41 59.96265504461923 
4 42 64.32511173717461 
4 43 60.11755151368026 
4 44 58.25049356014076 
4 45 59.13983429127951 
4 46 60.7216600563588 
4 47 61.831060155879584 
4 48 59.28170038047155 
4 49 59.79063471815632 
4 50 59.48377930158775 
5 6 63.36402764976355 
5 7 65.03291474322829 
5 8 61.860164888238046 
5 9 56.571370851341406 
5 10 59.572476866418775 
5 11 61.921563287759454 
5 12 58.028268972975575 
5 13 59.51739241599887 
5 14 57.764348866753444 
5 15 62.58849734575835 
5 16 63.6216944131481 
5 17 66.30475096099826 
5 18 62.6475857475769 
5 19 64.84381234936761 
5 20 62.960304954788775 
5 21 61.96386043493416 
5 22 66.87989234441096 
5 23 69.1036902053718 
5 24 67.38901987712835 
5 25 60.808552030121554 
5 26 62.42659689587444 
5 27 68.02264328883435 
5 28 63.42649288743624 
5 29 64.55168471852613 
5 30 66.91576794747259 
5 31 62.6475857475769 
5 32 56.76372080827683 
5 33 62.12632292354023 
5 34 58.418147865196815 
5 35 57.8522255405961 
5 36 63.00857084556037 
5 37 59.899248743202115 
5 38 62.141129696844104 
5 39 60.69596362197407 
5 40 65.68196099386802 
5 41 63.36402764976355 
5 42 67.61656601750786 
5 43 63.655321851358195 
5 44 61.83041322844284 
5 45 62.54502378287181 
5 46 63.93809506076952 
5 47 65.06827183812399 
5 48 62.62970541204868 
5 49 62.94187795101128 
5 50 62.95236294214857 
6 7 66.77814013582588 
6 8 63.86798885200629 
6 9 58.720694818777474 
6 10 61.554853586049575 
6 11 64.0 
6 12 60.07495318350236 
6 13 61.661333102682754 
6 14 59.830761318906845 
6 15 64.60092878589286 
6 16 65.07288221678829 
6 17 68.05967969363358 
6 18 64.35433163354274 
6 19 66.60120119036893 
6 20 64.67673461145051 
6 21 63.82695355412163 
6 22 68.65507992858213 
6 23 70.78926472283774 
6 24 69.07474212764026 
6 25 62.21736092120912 
6 26 64.18722614352485 
6 27 69.95712972957081 
6 28 65.19263762113019 
6 29 66.75387629194277 
6 30 68.58921197972755 
6 31 64.35433163354274 
6 32 58.92639476499474 
6 33 63.50590523722971 
6 34 60.225575962376645 
6 35 60.473134530963414 
6 36 64.84535449822138 
6 37 62.26620271061983 
6 38 63.552497983950246 
6 39 63.04823550266891 
6 40 67.21368908191248 
6 41 65.62072843240922 
6 42 69.66692184961238 
6 43 65.78966484182754 
6 44 63.649666142093785 
6 45 64.2339474110069 
6 46 66.20422947214173 
6 47 66.80958015135255 
6 48 64.53681120105021 
6 49 65.16901104052447 
6 50 64.88204682344724 
7 8 65.79452864790507 
7 9 60.344676650057544 
7 10 63.00857084556037 
7 11 64.95136642134636 
7 12 61.633432485948724 
7 13 63.24144210879445 
7 14 61.427029880989686 
7 15 65.86349520030045 
7 16 66.90291473471092 
7 17 70.35254082120987 
7 18 67.10439627923047 
7 19 69.5649336950737 
7 20 66.28212428702025 
7 21 65.22269543648132 
7 22 70.48886436877814 
7 23 72.53605999776939 
7 24 71.62904438843226 
7 25 64.25169258470939 
7 26 65.57347024521425 
7 27 71.70690343335151 
7 28 68.01470429252781 
7 29 67.91170738539859 
7 30 70.80254232723568 
7 31 67.24581771381771 
7 32 62.25817215434452 
7 33 65.18650167020776 
7 34 62.58530178883857 
7 35 61.79061417399895 
7 36 67.80943887100084 
7 37 64.1248781675256 
7 38 65.45899479827047 
7 39 64.77128993620553 
7 40 68.95650803223725 
7 41 66.77814013582588 
7 42 70.82457200717842 
7 43 67.08740567349433 
7 44 65.75499980990038 
7 45 65.91722081520125 
